date,province,country,lat,long,type,cases
20-05-2020,,Afghanistan,33.93911,67.709953,confirmed,492
21-05-2020,,Afghanistan,33.93911,67.709953,confirmed,531
22-05-2020,,Afghanistan,33.93911,67.709953,confirmed,540
23-05-2020,,Afghanistan,33.93911,67.709953,confirmed,782
24-05-2020,,Afghanistan,33.93911,67.709953,confirmed,584
25-05-2020,,Afghanistan,33.93911,67.709953,confirmed,591
26-05-2020,,Afghanistan,33.93911,67.709953,confirmed,658
27-05-2020,,Afghanistan,33.93911,67.709953,confirmed,625
28-05-2020,,Afghanistan,33.93911,67.709953,confirmed,580
29-05-2020,,Afghanistan,33.93911,67.709953,confirmed,623
30-05-2020,,Afghanistan,33.93911,67.709953,confirmed,866
31-05-2020,,Afghanistan,33.93911,67.709953,confirmed,680
01-06-2020,,Afghanistan,33.93911,67.709953,confirmed,545
02-06-2020,,Afghanistan,33.93911,67.709953,confirmed,759
03-06-2020,,Afghanistan,33.93911,67.709953,confirmed,758
04-06-2020,,Afghanistan,33.93911,67.709953,confirmed,787
05-06-2020,,Afghanistan,33.93911,67.709953,confirmed,915
06-06-2020,,Afghanistan,33.93911,67.709953,confirmed,582
07-06-2020,,Afghanistan,33.93911,67.709953,confirmed,791
08-06-2020,,Afghanistan,33.93911,67.709953,confirmed,575
09-06-2020,,Afghanistan,33.93911,67.709953,confirmed,542
10-06-2020,,Afghanistan,33.93911,67.709953,confirmed,683
11-06-2020,,Afghanistan,33.93911,67.709953,confirmed,748
12-06-2020,,Afghanistan,33.93911,67.709953,confirmed,656
13-06-2020,,Afghanistan,33.93911,67.709953,confirmed,556
14-06-2020,,Afghanistan,33.93911,67.709953,confirmed,664
15-06-2020,,Afghanistan,33.93911,67.709953,confirmed,761
16-06-2020,,Afghanistan,33.93911,67.709953,confirmed,783
17-06-2020,,Afghanistan,33.93911,67.709953,confirmed,564
18-06-2020,,Afghanistan,33.93911,67.709953,confirmed,658
19-06-2020,,Afghanistan,33.93911,67.709953,confirmed,346
20-06-2020,,Afghanistan,33.93911,67.709953,confirmed,546
21-06-2020,,Afghanistan,33.93911,67.709953,confirmed,409
22-06-2020,,Afghanistan,33.93911,67.709953,confirmed,324
23-06-2020,,Afghanistan,33.93911,67.709953,confirmed,324
24-06-2020,,Afghanistan,33.93911,67.709953,confirmed,159
25-06-2020,,Afghanistan,33.93911,67.709953,confirmed,535
26-06-2020,,Afghanistan,33.93911,67.709953,confirmed,276
27-06-2020,,Afghanistan,33.93911,67.709953,confirmed,165
28-06-2020,,Afghanistan,33.93911,67.709953,confirmed,351
29-06-2020,,Afghanistan,33.93911,67.709953,confirmed,271
30-06-2020,,Afghanistan,33.93911,67.709953,confirmed,279
01-07-2020,,Afghanistan,33.93911,67.709953,confirmed,319
02-07-2020,,Afghanistan,33.93911,67.709953,confirmed,186
